Clipping threshold: 3
Station: CS001HBA0; Polarisation: XX; Clipped: 1
Station: CS001HBA0; Polarisation: YY; Clipped: 56
Station: CS001HBA1; Polarisation: XX; Clipped: 2
Station: CS001HBA1; Polarisation: YY; Clipped: 51
Station: CS002HBA0; Polarisation: XX; Clipped: 1
Station: CS002HBA0; Polarisation: YY; Clipped: 51
Station: CS002HBA1; Polarisation: XX; Clipped: 2
Station: CS002HBA1; Polarisation: YY; Clipped: 47
Station: CS003HBA0; Polarisation: XX; Clipped: 1
Station: CS003HBA0; Polarisation: YY; Clipped: 35
Station: CS003HBA1; Polarisation: XX; Clipped: 1
Station: CS003HBA1; Polarisation: YY; Clipped: 41
Station: CS004HBA0; Polarisation: XX; Clipped: 1
Station: CS004HBA0; Polarisation: YY; Clipped: 49
Station: CS004HBA1; Polarisation: XX; Clipped: 2
Station: CS004HBA1; Polarisation: YY; Clipped: 61
Station: CS005HBA0; Polarisation: XX; Clipped: 2
Station: CS005HBA0; Polarisation: YY; Clipped: 57
Station: CS005HBA1; Polarisation: XX; Clipped: 1
Station: CS005HBA1; Polarisation: YY; Clipped: 41
Station: CS006HBA0; Polarisation: XX; Clipped: 2
Station: CS006HBA0; Polarisation: YY; Clipped: 53
Station: CS006HBA1; Polarisation: XX; Clipped: 1
Station: CS006HBA1; Polarisation: YY; Clipped: 67
Station: CS007HBA0; Polarisation: XX; Clipped: 1
Station: CS007HBA0; Polarisation: YY; Clipped: 28
Station: CS007HBA1; Polarisation: XX; Clipped: 1
Station: CS007HBA1; Polarisation: YY; Clipped: 32
Station: CS011HBA0; Polarisation: XX; Clipped: 2
Station: CS011HBA0; Polarisation: YY; Clipped: 45
Station: CS011HBA1; Polarisation: XX; Clipped: 1
Station: CS011HBA1; Polarisation: YY; Clipped: 36
Station: CS017HBA0; Polarisation: XX; Clipped: 1
Station: CS017HBA0; Polarisation: YY; Clipped: 32
Station: CS017HBA1; Polarisation: XX; Clipped: 1
Station: CS017HBA1; Polarisation: YY; Clipped: 55
Station: CS021HBA0; Polarisation: XX; Clipped: 1
Station: CS021HBA0; Polarisation: YY; Clipped: 53
Station: CS021HBA1; Polarisation: XX; Clipped: 2
Station: CS021HBA1; Polarisation: YY; Clipped: 65
Station: CS024HBA0; Polarisation: XX; Clipped: 1
Station: CS024HBA0; Polarisation: YY; Clipped: 35
Station: CS024HBA1; Polarisation: XX; Clipped: 1
Station: CS024HBA1; Polarisation: YY; Clipped: 27
Station: CS026HBA0; Polarisation: XX; Clipped: 1
Station: CS026HBA0; Polarisation: YY; Clipped: 45
Station: CS026HBA1; Polarisation: XX; Clipped: 1
Station: CS026HBA1; Polarisation: YY; Clipped: 48
Station: CS028HBA0; Polarisation: XX; Clipped: 2
Station: CS028HBA0; Polarisation: YY; Clipped: 44
Station: CS028HBA1; Polarisation: XX; Clipped: 2
Station: CS028HBA1; Polarisation: YY; Clipped: 51
Station: CS030HBA0; Polarisation: XX; Clipped: 1
Station: CS030HBA0; Polarisation: YY; Clipped: 40
Station: CS030HBA1; Polarisation: XX; Clipped: 2
Station: CS030HBA1; Polarisation: YY; Clipped: 50
Station: CS031HBA0; Polarisation: XX; Clipped: 1
Station: CS031HBA0; Polarisation: YY; Clipped: 52
Station: CS031HBA1; Polarisation: XX; Clipped: 2
Station: CS031HBA1; Polarisation: YY; Clipped: 44
Station: CS032HBA0; Polarisation: XX; Clipped: 2
Station: CS032HBA0; Polarisation: YY; Clipped: 48
Station: CS032HBA1; Polarisation: XX; Clipped: 2
Station: CS032HBA1; Polarisation: YY; Clipped: 50
Station: CS101HBA0; Polarisation: XX; Clipped: 2
Station: CS101HBA0; Polarisation: YY; Clipped: 44
Station: CS101HBA1; Polarisation: XX; Clipped: 2
Station: CS101HBA1; Polarisation: YY; Clipped: 46
Station: CS103HBA0; Polarisation: XX; Clipped: 2
Station: CS103HBA0; Polarisation: YY; Clipped: 28
Station: CS103HBA1; Polarisation: XX; Clipped: 1
Station: CS103HBA1; Polarisation: YY; Clipped: 49
Station: CS201HBA0; Polarisation: XX; Clipped: 1
Station: CS201HBA0; Polarisation: YY; Clipped: 49
Station: CS201HBA1; Polarisation: XX; Clipped: 1
Station: CS201HBA1; Polarisation: YY; Clipped: 40
Station: CS301HBA0; Polarisation: XX; Clipped: 2
Station: CS301HBA0; Polarisation: YY; Clipped: 53
Station: CS301HBA1; Polarisation: XX; Clipped: 2
Station: CS301HBA1; Polarisation: YY; Clipped: 52
Station: CS302HBA0; Polarisation: XX; Clipped: 2
Station: CS302HBA0; Polarisation: YY; Clipped: 49
Station: CS302HBA1; Polarisation: XX; Clipped: 2
Station: CS302HBA1; Polarisation: YY; Clipped: 47
Station: CS401HBA0; Polarisation: XX; Clipped: 0
Station: CS401HBA0; Polarisation: YY; Clipped: 0
Station: CS401HBA1; Polarisation: XX; Clipped: 0
Station: CS401HBA1; Polarisation: YY; Clipped: 0
Station: CS501HBA0; Polarisation: XX; Clipped: 2
Station: CS501HBA0; Polarisation: YY; Clipped: 40
Station: CS501HBA1; Polarisation: XX; Clipped: 122
Station: CS501HBA1; Polarisation: YY; Clipped: 83
Station: DE601HBA; Polarisation: XX; Clipped: 0
Station: DE601HBA; Polarisation: YY; Clipped: 0
Station: DE602HBA; Polarisation: XX; Clipped: 122
Station: DE602HBA; Polarisation: YY; Clipped: 41
Station: DE603HBA; Polarisation: XX; Clipped: 122
Station: DE603HBA; Polarisation: YY; Clipped: 106
Station: DE604HBA; Polarisation: XX; Clipped: 122
Station: DE604HBA; Polarisation: YY; Clipped: 116
Station: DE605HBA; Polarisation: XX; Clipped: 0
Station: DE605HBA; Polarisation: YY; Clipped: 32
Station: FR606HBA; Polarisation: XX; Clipped: 90
Station: FR606HBA; Polarisation: YY; Clipped: 100
Station: RS106HBA; Polarisation: XX; Clipped: 1
Station: RS106HBA; Polarisation: YY; Clipped: 28
Station: RS205HBA; Polarisation: XX; Clipped: 122
Station: RS205HBA; Polarisation: YY; Clipped: 110
Station: RS208HBA; Polarisation: XX; Clipped: 1
Station: RS208HBA; Polarisation: YY; Clipped: 0
Station: RS210HBA; Polarisation: XX; Clipped: 1
Station: RS210HBA; Polarisation: YY; Clipped: 0
Station: RS305HBA; Polarisation: XX; Clipped: 1
Station: RS305HBA; Polarisation: YY; Clipped: 47
Station: RS306HBA; Polarisation: XX; Clipped: 1
Station: RS306HBA; Polarisation: YY; Clipped: 55
Station: RS307HBA; Polarisation: XX; Clipped: 1
Station: RS307HBA; Polarisation: YY; Clipped: 1
Station: RS310HBA; Polarisation: XX; Clipped: 1
Station: RS310HBA; Polarisation: YY; Clipped: 0
Station: RS406HBA; Polarisation: XX; Clipped: 1
Station: RS406HBA; Polarisation: YY; Clipped: 0
Station: RS407HBA; Polarisation: XX; Clipped: 2
Station: RS407HBA; Polarisation: YY; Clipped: 0
Station: RS409HBA; Polarisation: XX; Clipped: 1
Station: RS409HBA; Polarisation: YY; Clipped: 0
Station: RS503HBA; Polarisation: XX; Clipped: 1
Station: RS503HBA; Polarisation: YY; Clipped: 64
Station: RS508HBA; Polarisation: XX; Clipped: 0
Station: RS508HBA; Polarisation: YY; Clipped: 0
Station: RS509HBA; Polarisation: XX; Clipped: 0
Station: RS509HBA; Polarisation: YY; Clipped: 0
Station: SE607HBA; Polarisation: XX; Clipped: 122
Station: SE607HBA; Polarisation: YY; Clipped: 122
Station: UK608HBA; Polarisation: XX; Clipped: 122
Station: UK608HBA; Polarisation: YY; Clipped: 118
