Clipping threshold: 1000.0
Station: DE601HBA; Polarisation: XX; Clipped: 0
Station: DE601HBA; Polarisation: YY; Clipped: 0
Station: DE602HBA; Polarisation: XX; Clipped: 0
Station: DE602HBA; Polarisation: YY; Clipped: 0
Station: DE603HBA; Polarisation: XX; Clipped: 0
Station: DE603HBA; Polarisation: YY; Clipped: 0
Station: DE604HBA; Polarisation: XX; Clipped: 0
Station: DE604HBA; Polarisation: YY; Clipped: 0
Station: DE605HBA; Polarisation: XX; Clipped: 0
Station: DE605HBA; Polarisation: YY; Clipped: 0
Station: FR606HBA; Polarisation: XX; Clipped: 1
Station: FR606HBA; Polarisation: YY; Clipped: 1
Station: RS106HBA; Polarisation: XX; Clipped: 0
Station: RS106HBA; Polarisation: YY; Clipped: 0
Station: RS205HBA; Polarisation: XX; Clipped: 0
Station: RS205HBA; Polarisation: YY; Clipped: 0
Station: RS208HBA; Polarisation: XX; Clipped: 0
Station: RS208HBA; Polarisation: YY; Clipped: 0
Station: RS210HBA; Polarisation: XX; Clipped: 1
Station: RS210HBA; Polarisation: YY; Clipped: 0
Station: RS305HBA; Polarisation: XX; Clipped: 0
Station: RS305HBA; Polarisation: YY; Clipped: 0
Station: RS306HBA; Polarisation: XX; Clipped: 1
Station: RS306HBA; Polarisation: YY; Clipped: 0
Station: RS307HBA; Polarisation: XX; Clipped: 0
Station: RS307HBA; Polarisation: YY; Clipped: 0
Station: RS310HBA; Polarisation: XX; Clipped: 0
Station: RS310HBA; Polarisation: YY; Clipped: 0
Station: RS406HBA; Polarisation: XX; Clipped: 1
Station: RS406HBA; Polarisation: YY; Clipped: 0
Station: RS407HBA; Polarisation: XX; Clipped: 1
Station: RS407HBA; Polarisation: YY; Clipped: 1
Station: RS409HBA; Polarisation: XX; Clipped: 0
Station: RS409HBA; Polarisation: YY; Clipped: 0
Station: RS503HBA; Polarisation: XX; Clipped: 1
Station: RS503HBA; Polarisation: YY; Clipped: 0
Station: RS508HBA; Polarisation: XX; Clipped: 0
Station: RS508HBA; Polarisation: YY; Clipped: 0
Station: RS509HBA; Polarisation: XX; Clipped: 0
Station: RS509HBA; Polarisation: YY; Clipped: 0
Station: SE607HBA; Polarisation: XX; Clipped: 0
Station: SE607HBA; Polarisation: YY; Clipped: 0
Station: UK608HBA; Polarisation: XX; Clipped: 1
Station: UK608HBA; Polarisation: YY; Clipped: 1
